"Team","Rank","QB","Rank","RB","Rank","WR","Rank","TE","Rank","K","Rank","DST"
"Arizona Cardinals","30","14.7","30","15.7","24","20.5","31","4.5","22","7.5","23","5.2"
"Atlanta Falcons","21","18.2","10","19.6","13","23.5","25","6.0","18","7.7","1","9.9"
"Baltimore Ravens","19","18.6","20","17.6","14","23.2","11","9.0","28","5.7","9","8.0"
"Buffalo Bills","31","13.9","17","18.4","32","15.2","27","5.9","29","5.7","29","3.9"
"Carolina Panthers","27","16.1","24","16.8","31","18.3","24","6.0","17","7.9","10","7.9"
"Chicago Bears","12","19.4","9","19.6","4","26.7","26","5.9","5","9.8","5","8.7"
"Cincinnati Bengals","26","17.0","13","19.0","25","20.3","16","7.8","21","7.5","18","6.2"
"Cleveland Browns","16","18.8","19","18.1","19","22.2","17","7.7","30","5.6","22","5.5"
"Dallas Cowboys","8","20.0","8","20.4","5","26.1","15","8.1","3","10.4","25","4.9"
"Denver Broncos","28","16.1","15","18.5","11","24.1","30","4.6","20","7.6","8","8.0"
"Detroit Lions","10","19.7","2","24.1","18","22.7","18","7.3","1","11.1","6","8.5"
"Green Bay Packers","29","15.4","25","16.8","29","19.3","22","6.6","32","4.9","30","3.2"
"Houston Texans","7","20.1","7","20.7","9","25.4","6","9.8","11","8.8","3","9.8"
"Indianapolis Colts","9","20.0","32","14.1","6","25.9","4","10.2","31","5.5","32","2.7"
"Jacksonville Jaguars","24","17.6","22","17.1","16","23.1","14","8.3","13","8.4","2","9.8"
"Kansas City Chiefs","5","20.7","23","16.9","22","21.5","7","9.6","24","6.6","15","6.6"
"Las Vegas Raiders","3","21.6","5","22.2","17","22.9","1","13.4","7","9.6","13","7.2"
"Los Angeles Chargers","25","17.4","3","23.8","27","19.9","3","10.6","6","9.6","26","4.4"
"Los Angeles Rams","20","18.3","21","17.4","20","22.2","8","9.5","16","8.0","20","5.8"
"Miami Dolphins","4","21.3","14","18.8","3","27.1","9","9.2","9","9.3","11","7.8"
"Minnesota Vikings","11","19.5","12","19.1","7","25.8","28","5.5","12","8.7","31","3.1"
"New England Patriots","32","13.5","28","16.0","28","19.6","29","4.9","25","6.4","14","6.8"
"New Orleans Saints","2","24.9","29","15.9","1","29.0","13","8.4","4","9.8","17","6.3"
"New York Giants","18","18.7","6","21.7","12","23.6","19","7.2","8","9.4","12","7.3"
"New York Jets","17","18.8","1","29.2","10","24.6","10","9.0","2","11.0","4","8.9"
"Philadelphia Eagles","13","19.3","16","18.4","26","19.9","2","11.5","27","5.8","27","4.2"
"Pittsburgh Steelers","23","18.0","11","19.2","15","23.2","21","6.8","10","9.0","19","5.8"
"San Francisco 49ers","22","18.1","31","14.8","23","21.4","32","3.8","26","6.3","24","5.0"
"Seattle Seahawks","14","19.1","4","23.8","21","21.8","5","10.1","15","8.1","16","6.5"
"Tampa Bay Buccaneers","15","18.9","26","16.3","30","18.8","12","8.8","23","6.8","28","4.0"
"Tennessee Titans","6","20.2","27","16.1","8","25.8","23","6.1","19","7.6","21","5.7"
"Washington Football Team","1","26.4","18","18.2","2","27.8","20","6.9","14","8.4","7","8.1"
""
""
